din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2025-01-04 20:00:00;SE;SUDESTE;S;SUL;2402.823
2025-01-04 21:00:00;N;NORTE;NE;NORDESTE;-515.383
2025-01-04 21:00:00;N;NORTE;SE;SUDESTE;6659.699
2025-01-04 21:00:00;NE;NORDESTE;SE;SUDESTE;2334.447
2025-01-04 21:00:00;SE;SUDESTE;S;SUL;2177.206
2025-01-04 22:00:00;N;NORTE;NE;NORDESTE;-178.285
2025-01-04 22:00:00;N;NORTE;SE;SUDESTE;5487.21
2025-01-04 22:00:00;NE;NORDESTE;SE;SUDESTE;2320.33399999
2025-01-04 22:00:00;SE;SUDESTE;S;SUL;1549.376
2025-01-04 23:00:00;N;NORTE;NE;NORDESTE;296.678
2025-01-04 23:00:00;N;NORTE;SE;SUDESTE;4892.502
