id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
NE;NORDESTE;2024-03-18;7986.67480469;56.45240021;7986.67480469;56.45240021
S;SUL;2024-03-18;10724.83007813;151.78089905;10321.90820313;146.07859802
SE;SUDESTE;2024-03-18;41702.32421875;60.37139893;40384.73828125;58.4640007
N;NORTE;2024-03-19;17181.921875;63.72819901;15456.70117188;57.32929993
NE;NORDESTE;2024-03-19;7586.43017578;53.62340164;7586.43017578;53.62340164
S;SUL;2024-03-19;10814.32910156;153.04750061;10274.45117188;145.40699768
SE;SUDESTE;2024-03-19;41690.84765625;60.35480118;40198.25;58.19400024
N;NORTE;2024-03-20;17386.62695313;64.48739624;15198.68359375;56.37229919
NE;NORDESTE;2024-03-20;7233.52392578;51.12889862;7225.65917969;51.07329941
S;SUL;2024-03-20;11013.84277344;155.87109375;10528.48730469;149.00219727
SE;SUDESTE;2024-03-20;41628.37109375;60.2643013;40862.4375;59.1554985
N;NORTE;2024-03-21;17500.3046875;64.90910339;13580.6796875;50.37110138
NE;NORDESTE;2024-03-21;6950.55810547;49.12879944;6950.55810547;49.12879944
S;SUL;2024-03-21;10681.30371094;151.16490173;10230.44335938;144.78419495
SE;SUDESTE;2024-03-21;41574.45703125;60.18629837;40520.89453125;58.66109848
N;NORTE;2024-03-22;17696.66601563;65.63739777;12666.56738281;46.98059845
NE;NORDESTE;2024-03-22;6785.72607422;47.96369934;6785.72607422;47.96369934
S;SUL;2024-03-22;9862.0859375;139.57110596;9541.78808594;135.0381012
